Model,Per-Q Var,Valid Entries,Total Entries,Coverage,Var Ratio
Human,0.07825515019521073,7030,27700,0.25379061371841155,1.0
Claude Sonnet 4.5,0.030866660280190972,7022,27700,0.25350180505415165,0.3944361515273155
GPT-4o,0.020268626792409487,8556,27700,0.3088808664259928,0.25900693745841075
GPT-5.1,0.019066466884699117,8553,27600,0.3098913043478261,0.24364488263247877
Llama 3.1 8B,0.018557326980708434,8780,27700,0.31696750902527077,0.23713873060643814
Llama 3.1 8B (FT),0.01702733201022292,9310,27700,0.336101083032491,0.21758736604233114
Mistral 7B,0.028016223944740553,10771,27700,0.3888447653429603,0.358011247500681
Qwen 3 4B,0.01615579111055277,11596,27700,0.41862815884476534,0.20645019618838475
